cov1,cov2,cov3,cov4,cov5,cov6,cov7,sal_pur_rat,igst_itc_tot_itc_rat,lib_igst_itc_rat
0.8623188,0.7230828,-0.039796967,-0.06585958,0.25123617,0.5618955,0.2673213,0.23773499,0.19328189,0.3269506
0.97803575,0.91185904,0.6766174,0.63336146,0.47740513,0.5548387,0.37505475,-0.033820957,-0.36250743,-0.051294938
0.99621934,0.9739431,0.6152782,0.692365,0.6098201,0.7956125,0.8665621,-0.03529613,1.2444682,-0.054385267
0.9961148,0.96929336,-0.4227241,-0.3401997,0.45082346,0.9195799,0.7004519,-0.035106603,0.4259075,-0.053969633
0.9973675,0.9778506,0.84847635,0.8383444,0.62927794,0.6886892,0.61714196,-0.0353062,-0.10834114,-0.054424133
0.9381319,0.8291837,0.14545219,0.07667893,0.30666208,0.6264127,0.21086204,0.003201622,-0.38556418,2.6239984e-05
0.9901103,0.9371565,0.16277246,-0.031202085,0.3878471,0.81275105,0.0690125,-0.034729287,-0.950465,-0.05333796
0.9851167,0.9305113,-0.2613072,-0.2778899,0.3611845,0.8447538,0.38515195,-0.03240767,-0.18951711,-0.049402636
0.94670826,0.8474203,-0.016649859,0.081450425,0.35392687,0.6869092,0.7678215,-0.020570222,1.3243898,-0.023160463
0.9726218,0.87873733,0.59807485,0.52589583,0.417471,0.56494355,0.23744674,-0.03191631,-0.5748627,-0.04809717
0.8340436,0.6892266,0.043073162,0.013030633,0.24314818,0.52525985,0.31253296,0.3791164,0.27368096,0.49612698
0.97299635,0.90125036,0.67623067,0.6508554,0.4531707,0.5143292,0.44706368,-0.03362692,0.021287631,-0.050802726
0.99872106,0.98601764,0.34823152,0.5861457,0.67119193,0.87955916,0.98433316,-0.035312857,2.033943,-0.054444205
0.94595796,0.83230406,0.40633893,0.33797553,0.34372497,0.5671435,0.19428454,-0.017257025,-0.47196916,-0.02684881
0.99599195,0.97184736,-0.3295724,-0.14734735,0.5006411,0.91400856,0.88146704,-0.03519223,1.4204767,-0.05408247
0.9949373,0.9699896,0.5316211,0.6492866,0.59847987,0.7783597,0.91143537,-0.03529432,1.673931,-0.054364875
0.99446654,0.96239144,-0.42392218,-0.3541235,0.42843628,0.8984177,0.68576485,-0.034971453,0.49644154,-0.053569686
0.9725705,0.8829159,-0.17712702,-0.27592415,0.31372118,0.7680484,0.1786455,-0.029280009,-0.60716915,-0.044051494
0.96786606,0.8812654,-0.1277536,-0.21512672,0.31296018,0.7576963,0.20898701,-0.025078222,-0.56917846,-0.038645953
0.9580787,0.8589822,-0.13379349,-0.21180421,0.3029701,0.7491346,0.24537,-0.015136023,-0.3460462,-0.024379073
0.92550445,0.81781226,-0.030864066,-0.06051182,0.2931787,0.6634844,0.2781835,0.046382904,-0.037718818,0.052715376
0.9991476,0.98517025,0.8454249,0.79127204,0.6287734,0.7658642,0.17346124,-0.035312206,-1.0045105,-0.05444409
0.81850725,0.68772894,0.12264813,0.09297217,0.25322583,0.4823974,0.2685977,0.41392404,0.17485139,0.5203106
0.9964083,0.9648156,0.41282827,0.2190291,0.47701448,0.8377526,0.05334448,-0.03524561,-1.0070051,-0.054300334
0.98542583,0.94076014,0.09406604,0.27467614,0.48552856,0.7892511,0.8857185,-0.03470879,1.6269274,-0.052708298
0.99406904,0.9535472,0.31582642,0.12091946,0.41898215,0.80838895,0.056419585,-0.03517266,-0.9873411,-0.054152466
0.9955802,0.9633142,-0.3355146,-0.4239515,0.39477402,0.8999291,0.24980514,-0.035185363,-0.83162725,-0.054172263
0.9117486,0.796158,-0.06461919,-0.05641744,0.27832383,0.6417986,0.37710565,0.07568959,0.32264486,0.09092362
0.9568904,0.8488693,0.24542737,0.10164785,0.32111883,0.6317749,0.08636202,-0.02382334,-0.779271,-0.03537159
0.99338824,0.9470937,0.598745,0.48646334,0.4715277,0.7080654,0.08182216,-0.035166,-0.9674122,-0.054124203
0.9816998,0.933169,0.50391626,0.5452005,0.49238396,0.7007969,0.60949314,-0.033811178,0.33834764,-0.051534668
0.980568,0.9119332,0.54554236,0.48322988,0.43845156,0.6759037,0.309513,-0.0334883,-0.51231813,-0.051076397
0.98074704,0.9000408,0.5114781,0.40803754,0.41273138,0.6277918,0.10121412,-0.03351793,-0.8593964,-0.050981116
0.9672345,0.8855711,0.28661427,0.2317182,0.35553595,0.6958847,0.24217792,-0.02812689,-0.47432822,-0.04415385
0.99352986,0.95178914,0.38880756,0.20969506,0.4463087,0.79864687,0.073004775,-0.03510974,-0.98733914,-0.05404958
0.9566857,0.88279456,0.05184817,0.1307571,0.37493858,0.72082907,0.62478924,-0.017013146,0.8940773,-0.02330425
0.97348183,0.9096645,-0.05253963,0.0709787,0.40445325,0.77706206,0.7855081,-0.031238606,1.2457716,-0.045838583
0.9354107,0.828136,-0.11873324,-0.13896443,0.291067,0.6889013,0.32355267,0.023574062,0.060631357,0.030791003
0.9865871,0.92810005,-0.1229961,-0.251702,0.34633517,0.8425126,0.1611605,-0.033824664,-0.79931074,-0.05209495
0.960673,0.88700193,0.1307966,0.21824762,0.38787466,0.71431893,0.64763933,-0.025256587,0.8242511,-0.03570843
0.93021584,0.81197697,0.0858132,0.015221419,0.29075053,0.6515496,0.18126668,0.016452031,-0.41859597,0.01439497
0.99874616,0.9813617,0.67086154,0.54803956,0.5666952,0.8224033,0.04037888,-0.035308722,-1.0399688,-0.054435454
0.9957725,0.9668961,0.8212268,0.78669524,0.5893605,0.6207722,0.36174262,-0.035282116,-0.7045011,-0.05436058
0.99667,0.98104113,0.6466997,0.6922164,0.6197829,0.8229497,0.7520172,-0.035288326,0.28810394,-0.05437777
0.97120917,0.88355166,0.4851214,0.40043765,0.39954346,0.60620505,0.14892802,-0.029768057,-0.7080821,-0.0450142
0.99763715,0.976597,0.8429102,0.80396837,0.6149209,0.7051656,0.39078733,-0.03530502,-0.7636711,-0.054423053
0.9398339,0.8374802,-0.076182745,-0.09229189,0.30276808,0.6970191,0.27533257,0.026220892,-0.07669453,0.028436959
0.9597491,0.8766295,0.49339005,0.48680645,0.40812933,0.59808487,0.48230714,-0.026840093,0.12659167,-0.040049423
0.9990489,0.9900962,-0.020942243,0.34153998,0.6606062,0.9241654,0.9864456,-0.03531271,2.051324,-0.054443706
0.9772566,0.91585714,0.649807,0.62348735,0.46601406,0.5894372,0.44391406,-0.034160256,-0.078659475,-0.05195152
0.9476795,0.82857335,0.34469718,0.25531176,0.34466022,0.5985415,0.16203411,-0.009490641,-0.5496739,-0.0157802
0.9607703,0.8641315,-0.07072036,-0.19067045,0.30492514,0.74378747,0.17374875,-0.019547502,-0.5604785,-0.030707724
0.956809,0.8573457,0.41425213,0.31923345,0.3623641,0.58341175,0.1557735,-0.02560681,-0.67878675,-0.038334403
0.9971033,0.9760042,-0.32427874,-0.08440574,0.52993983,0.9149635,0.95242834,-0.035280824,1.8078758,-0.054315966
0.9041488,0.7843101,0.17046243,0.10448057,0.29372802,0.56703997,0.20042278,0.06781216,-0.32569104,0.08715337
0.89680785,0.7655784,0.055212807,0.003972126,0.2785538,0.5822192,0.19112803,0.11746414,-0.2276171,0.14509863
0.9965155,0.9727293,-0.35270184,-0.1280493,0.5341663,0.91046894,0.9468836,-0.035268813,1.7226835,-0.05427026
0.97854304,0.9267178,0.06259533,0.2172143,0.44953394,0.766542,0.8681575,-0.033623185,1.5219442,-0.050068
0.95680475,0.8528305,-0.09281948,-0.190123,0.29865462,0.7216379,0.17476368,-0.018431919,-0.5500454,-0.028026456
0.9967245,0.96815604,-0.15571885,-0.32088712,0.42661145,0.912606,0.15315975,-0.035238355,-0.9714629,-0.054293104
0.98258287,0.91256046,0.5745931,0.51606625,0.4440169,0.67006963,0.2739746,-0.033406857,-0.5823976,-0.05124511
0.98409075,0.9103312,0.5549725,0.4240154,0.42637837,0.6492386,0.10593564,-0.03431341,-0.8936956,-0.052491322
0.94270283,0.8305458,0.41776013,0.33755916,0.34159636,0.52980065,0.20246406,-0.015183862,-0.5021951,-0.022227798
0.99399465,0.9565213,-0.23711456,-0.3313322,0.40447712,0.8810657,0.22079854,-0.035012532,-0.8538273,-0.05383479
0.9973746,0.98117685,-0.027564503,0.26399276,0.59262645,0.8976758,0.9603475,-0.035299834,1.8910437,-0.054390535
0.9993751,0.9933633,0.80142236,0.8466099,0.7206987,0.8550271,0.8802259,-0.035313036,0.92807126,-0.054446567
0.96408015,0.89428276,0.26795977,0.36053038,0.4259113,0.68472004,0.7382792,-0.029729294,1.0825961,-0.042780567
0.892893,0.77408284,0.3585968,0.30811754,0.2976366,0.45843613,0.17949341,0.037121486,-0.2965987,0.05025808
0.91386926,0.7960845,-0.058766183,-0.032099456,0.30473942,0.63320374,0.52134186,0.025770055,0.5397364,0.046716306
0.99009293,0.93468463,0.53385013,0.41105613,0.45071372,0.7122387,0.09559714,-0.034819122,-0.93224585,-0.053498514
0.99639475,0.96993995,-0.40506667,-0.39651874,0.432167,0.9191911,0.41898635,-0.035168923,-0.50137514,-0.054167062
0.9921414,0.95451564,-0.10243977,0.123466186,0.50176924,0.8517773,0.94822717,-0.035210494,1.8313357,-0.05404488
0.9886424,0.9432307,-0.27040082,-0.11580678,0.44347373,0.8540259,0.86274844,-0.0344965,1.449453,-0.052095324
0.9941584,0.9636828,-0.33799776,-0.14601775,0.48709726,0.89470845,0.9034977,-0.03513579,1.5502363,-0.053873345
0.98246706,0.9159303,-0.25056693,-0.31417975,0.33244628,0.8235519,0.27391195,-0.032896228,-0.49982613,-0.05051383
0.9848665,0.933279,0.6228859,0.59451556,0.47635123,0.6511669,0.31227604,-0.034524657,-0.4612949,-0.052883763
0.9513103,0.8602884,-0.11219882,-0.04883468,0.33618814,0.7224556,0.63248473,-0.008815946,0.91891664,-0.0076414715
0.9796909,0.9134999,0.6781797,0.6462558,0.47266784,0.56169224,0.35433683,-0.033840828,-0.36585116,-0.051566057
0.95593345,0.8678777,-0.2045619,-0.1616739,0.31845117,0.7357086,0.4766887,-0.010761972,0.33144423,-0.011888039
0.9744232,0.8907386,-0.054541856,-0.1908044,0.31676248,0.78212976,0.1341699,-0.030756885,-0.7622477,-0.047235753
0.9990323,0.98937476,-0.45196742,-0.15340933,0.601838,0.94791174,0.982972,-0.03531192,1.9951413,-0.0544389
0.9370795,0.80795914,0.42749754,0.33929875,0.3316103,0.5143947,0.15656732,-0.01256597,-0.5482183,-0.017791303
0.9778722,0.9162635,-0.24123876,-0.18066055,0.3755638,0.80936605,0.6470981,-0.02959661,0.596731,-0.042882066
0.99175054,0.9488081,-0.28082758,-0.35830522,0.3568814,0.8711136,0.2613635,-0.03482605,-0.72971845,-0.053591527
0.97698444,0.8975723,0.046232603,-0.08504752,0.34981024,0.74287283,0.1153266,-0.03084888,-0.7843453,-0.04680804
0.9843073,0.92087287,0.66688114,0.6298245,0.48084682,0.590519,0.31204927,-0.03432231,-0.5751535,-0.052468892
0.9823665,0.92433196,-0.26535153,-0.14512524,0.39866793,0.82315385,0.76768917,-0.032551832,1.0666552,-0.048411105
0.9806904,0.91117567,-0.2868147,-0.30413392,0.33830425,0.81701565,0.3615229,-0.031242024,-0.15173899,-0.046971455
0.9671026,0.88779455,-0.210844,-0.20480195,0.3323636,0.76575226,0.4660617,-0.022829037,0.18715028,-0.032297038
0.983172,0.9280234,-0.17156829,-0.03135543,0.42600834,0.8273058,0.80188644,-0.0332626,1.2409855,-0.04967004
0.86424935,0.7104568,0.10665287,0.015793512,0.25398806,0.53597057,0.1462256,0.20944998,-0.2960869,0.26178885
0.9940758,0.96816903,0.03511867,0.26133594,0.54279757,0.8594488,0.9348051,-0.035205923,1.7369134,-0.05409649
0.9878847,0.92770267,0.4960443,0.37279576,0.4309668,0.69633335,0.09303693,-0.03460419,-0.92893463,-0.05313448
0.9336861,0.8097456,0.0040036826,-0.096636996,0.29213557,0.6642311,0.16067514,0.014414161,-0.498093,0.017381119
0.9259551,0.8178525,-0.05491844,-0.031492956,0.3083103,0.6627362,0.44087923,0.046872247,0.48291624,0.06813588
0.99430054,0.9566991,0.29183927,0.08987859,0.42101002,0.83417267,0.072693884,-0.035155274,-0.97947556,-0.05414655
0.9799284,0.9106623,-0.26844844,-0.29637673,0.33737358,0.81104404,0.30866575,-0.030649735,-0.32163224,-0.04659961
0.9496086,0.85174674,-0.057303473,-0.10437088,0.3191388,0.7079805,0.2538082,0.0026195585,-0.20287785,0.0013534552
0.9925943,0.95011705,0.705257,0.6336986,0.49833196,0.6630601,0.17225988,-0.035173316,-0.87191206,-0.05413333
0.88523126,0.7477904,0.13224895,0.05423025,0.2619235,0.5595861,0.19539025,0.14118996,-0.21895675,0.16204166
0.9919089,0.9468723,0.017365295,-0.16935182,0.37996554,0.8545876,0.08957739,-0.034902964,-0.94902027,-0.05368287
0.95075554,0.8391545,0.035346568,-0.091089666,0.2997699,0.6767838,0.12071768,-0.014217912,-0.6807624,-0.02214416
0.98158866,0.90752345,0.50644267,0.41159463,0.42834532,0.68455416,0.1805796,-0.03279406,-0.7318452,-0.050106026
0.9974511,0.97807395,0.8693756,0.84653014,0.6307022,0.6478347,0.5751807,-0.03530787,-0.2969922,-0.054428305
0.9949461,0.9660243,0.7877229,0.7498886,0.54874104,0.6708054,0.388452,-0.035280958,-0.5772352,-0.054362833
0.9540865,0.84601545,0.37320134,0.2552822,0.33455366,0.5950868,0.121097855,-0.022357069,-0.7345191,-0.034121983
0.8486727,0.7237953,0.051182948,0.013907847,0.2414843,0.53404313,0.20025198,0.26901472,-0.09531388,0.32390755
0.9237822,0.81447345,0.08768425,0.035173327,0.29997367,0.6267009,0.27406868,0.006909296,-0.24420711,0.009215997
0.984825,0.921152,0.61244154,0.5309923,0.44777158,0.60667855,0.12487649,-0.034607187,-0.85673344,-0.052990124
0.99927413,0.990389,-0.517323,-0.31889728,0.57513565,0.9595908,0.9393118,-0.0353098,1.5614655,-0.05443296
0.9134528,0.7923906,0.10946775,0.029845348,0.2721456,0.59288836,0.14891905,0.05073571,-0.34413415,0.058507834
0.9158831,0.7869663,0.23093921,0.112541795,0.28583953,0.5560235,0.11059388,0.025729714,-0.5678457,0.034707185
0.97618973,0.90936935,-0.22371161,-0.10078854,0.39023173,0.79550266,0.75768197,-0.029533861,1.1442208,-0.04206936
0.97899747,0.9015163,0.6072815,0.5743855,0.4470989,0.6103611,0.3450504,-0.032801863,-0.39380285,-0.050130278
0.9672173,0.8940805,-0.18082087,-0.12649553,0.36647174,0.7672344,0.6241959,-0.022624923,0.68615884,-0.029928336
0.9447408,0.84954774,0.44354457,0.42574587,0.38004804,0.5696695,0.39957798,-0.016609656,0.06434716,-0.02530389
0.9948238,0.95500535,0.64375645,0.548924,0.49541095,0.73269194,0.12847036,-0.03521925,-0.94662416,-0.05423641
0.9991707,0.99123,0.61749583,0.76373774,0.7135967,0.8681969,0.9794076,-0.03531317,1.985351,-0.054446664
0.8265362,0.66581476,0.13418421,0.044508778,0.23288858,0.48447037,0.14901912,0.3888515,-0.18089196,0.4884635
0.94884187,0.8761789,0.23222966,0.285666,0.38390967,0.6526997,0.5640091,-0.01907883,0.59352404,-0.025353167
0.98585135,0.9241106,0.042395912,-0.092694275,0.3785668,0.8199915,0.18144779,-0.032998458,-0.8053705,-0.050765257
0.9969952,0.9735285,0.786094,0.73778296,0.575009,0.7201158,0.2587922,-0.035297226,-0.8977302,-0.054402225
0.973966,0.8997811,-0.0064793285,0.14758602,0.43014893,0.7499044,0.88823265,-0.033277653,1.6333044,-0.048750706
0.97304696,0.9095976,-0.106724516,-0.0033413284,0.3904397,0.78467494,0.69217956,-0.026070861,0.87546813,-0.037732232
0.99801904,0.9815785,-0.38238817,-0.132149,0.54889065,0.9302962,0.9590533,-0.035297483,1.8354603,-0.054378178
0.97228056,0.90570664,0.557495,0.5709164,0.46040404,0.603725,0.58240247,-0.032636028,0.41431317,-0.04892319
0.9934641,0.9655874,0.7729974,0.76204747,0.5833263,0.6715283,0.5933107,-0.035268765,0.011643945,-0.054316156
0.9013513,0.79697186,0.2636989,0.26684943,0.3276632,0.5329981,0.47774422,0.0129699465,0.46872327,0.024517221
0.9487165,0.8404824,0.5330161,0.4945157,0.38593632,0.51982635,0.35693485,-0.019969517,-0.1306234,-0.030177142
0.99852455,0.98513496,0.015554289,0.34734404,0.6324334,0.90647864,0.98696,-0.035311945,2.0493226,-0.05443924
0.978392,0.89058083,0.22474669,0.06625592,0.34852913,0.7438684,0.107751146,-0.031680606,-0.8308776,-0.04849708
0.99203235,0.9417053,0.75620294,0.7046167,0.50617665,0.58321023,0.19782788,-0.03516345,-0.8104096,-0.054073613
0.946658,0.8293737,0.20133944,0.06448898,0.3006985,0.6256172,0.0928219,-0.0122302985,-0.70385456,-0.019707484
0.9341802,0.8341452,0.002926279,-0.00038484402,0.31151727,0.6826379,0.42458814,0.01915665,0.2192112,0.027280498
0.99749005,0.981389,0.7064148,0.7484986,0.64239246,0.8029982,0.77313566,-0.035299223,0.51134825,-0.054405466
0.98140574,0.9135742,-0.11182929,-0.2529775,0.32022262,0.81349576,0.15978977,-0.033052865,-0.783696,-0.050710898
0.98316664,0.9285092,-0.09845483,0.085973635,0.45736876,0.80157965,0.9087489,-0.03432551,1.6998378,-0.051460057
0.973827,0.8902264,-0.042805288,-0.15082191,0.32338995,0.7635166,0.16070208,-0.028045725,-0.6888005,-0.042833798
0.9584569,0.86386114,-0.12279995,-0.047100358,0.3589675,0.7364878,0.7001376,-0.019218901,1.058686,-0.022329967
0.97049516,0.8749965,0.16435498,0.03958676,0.34273836,0.7015219,0.12302763,-0.028476674,-0.76126516,-0.043306343
0.99039483,0.95637804,0.472135,0.5725085,0.52661645,0.76121324,0.80504537,-0.035116043,1.232031,-0.053962223
